ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10147,CHIN,2026,001,Lecture,"4","Caren Freeman, Shu-Chen Chen","MoTuWeThFr 9:00AM - 4:00PM","Pavilion VIII 108","Intensive Intermediate Chinese","",Open,8,15,0
10276,CHIN,216,001,Lecture,"0","Caren Freeman, Shu-Chen Chen","MoTuWeThFr 9:00AM - 4:00PM","Pavilion VIII 108","Intensive Intermediate Chinese","",Open,1,30,0
10277,CHIN,226,001,Lecture,"0","Caren Freeman, Shu-Chen Chen","MoTuWeThFr 9:00AM - 4:00PM","Pavilion VIII 108","Intensive Intermediate Chinese","",Open,1,30,0
10971,CLAS,2020,001,Lecture,"3","Timothy Brannelly","MoTuWeThFr 1:00PM - 3:15PM","Gibson Hall 241","Roman Civilization","",Open,9,15,0
10019,CLAS,2040,001,Lecture,"3","Sarah Miller","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 334","Greek Mythology","",Open,7,15,0
11106,COMM,2010,001,Lecture,"3","Linda Hitt","MoTuWeThFr 10:30AM - 12:45PM","Robertson Hall 246","Introduction to Financial Accounting","",Open,22,35,0
12351,COMM,4660,001,Lecture,"3","Brendan Boler","MoTuWeThFr 10:30AM - 12:45PM","Robertson Hall 246","The Advice Business: The Basics of Strategic Consulting","",Open,11,30,0
12353,CS,2110,001,Lecture,"3","Luther Tychonievich","MoTuWeThFr 10:30AM - 12:45PM","Rice Hall 340","Software Development Methods","",Open,25,30,0
12354,CS,3205,001,Lecture,"3","Mark Floryan","MoTuWeThFr 10:30AM - 12:45PM","Olsson Hall 120","HCI in Software Development","",Open,27,30,0
11826,CS,4102,001,Lecture,"3","Thomas Horton","MoTuWeThFr 1:00PM - 3:15PM","Thornton Hall D222","Algorithms","",Open,20,30,0
11825,CS,4730,001,Lecture,"3","Mark Sherriff","MoTuWeThFr 10:30AM - 12:45PM","Rice Hall 340","Computer Game Design","",Open,19,30,0
12355,CS,4750,001,Lecture,"3","Nada Basit","MoTuWeThFr 1:00PM - 3:15PM","Olsson Hall 120","Database Systems","",Open,19,30,0
12864,CS,4993,003,Independent Study,"1 - 3","James Cohoon","TBA","TBA","Independent Study","",Open,0,30,0
12929,CS,4993,004,Independent Study,"1 - 3","Abhi Shelat","TBA","TBA","Independent Study","",Open,0,1,0
13008,CS,4993,005,Independent Study,"1 - 3","Mark Floryan","TBA","TBA","Independent Study","",Closed,1,1,0
12889,CS,5010,1,Lecture,"3","Nada Basit","TBA","TBA","Programming and Systems for Data Science","",Closed,48,30,0
11790,CS,7993,001,Independent Study,"1 - 12","Kevin Skadron","TBA","TBA","Independent Study","",Open,0,30,0
11853,CS,7993,002,Independent Study,"1 - 12","Sudhanva Gurumurthi","TBA","TBA","Independent Study","",Open,0,30,0
11814,CS,7995,001,Independent Study,"3","Andrew Grimshaw","TBA","TBA","Supervised Project Research","",Open,0,30,0
12738,CS,7995,002,Independent Study,"3","John Stankovic","TBA","TBA","Supervised Project Research","",Open,1,30,0
12756,CS,7995,003,Independent Study,"3","Yanjun Qi","TBA","TBA","Supervised Project Research","",Open,0,30,0
11677,CS,8999,001,Independent Study,"1 - 12","Cameron Whitehouse","TBA","TBA","Thesis","",Open,3,30,0
11678,CS,8999,002,Independent Study,"1 - 12","James Cohoon","TBA","TBA","Thesis","",Open,0,30,0
11679,CS,8999,003,Independent Study,"1 - 12","Jack Davidson","TBA","TBA","Thesis","",Open,1,30,0
